nombre,descripcion,lat,lng,tipo,poligono_coords,fecha_creacion,actividad_entrada,actividad_salida,prioridad_alerta,notas,status_entrada,status_salida
CASETA_CERRO_GORGO_A_1_GTO,"Mex-45D, Salamanca, Guanajuato, Mexico",,,caseta,,,Tránsito autopista,Tránsito,,,En Ruta,En Ruta
CASETA_CTO_MEX_JOROBAS_EDOMEX,"Mex-5D, Huehuetoca, México, Mexico",,,caseta,,,Tránsito autopista,Tránsito,,,En Ruta,En Ruta
CASETA_CTO_MEX_REVOLUCION_EDOMEX,"Privada 30 De Septiembre, Los Sauces, Ecatepec De Morelos, México 55025, Mexico",,,caseta,,,Tránsito autopista,Tránsito,,,En Ruta,En Ruta
CASETA_ENCARNACION_ DE_DIAZ_JAL,"Mex-45D, Encarnación De Díaz, Jalisco, Mexico",,,caseta,,,Tránsito autopista,Tránsito,,,En Ruta,En Ruta
CASETA_LEON_GTO,"Carretera León-Aguascalientes, Ciudad Industrial, León, Guanajuato 37564, Mexico",,,caseta,,,Tránsito autopista,Tránsito,,,En Ruta,En Ruta
CASETA_QRO_ARCO_NORTE_EDOMEX,"Mex-40D, Soyaniquilpan De Juárez, México, Mexico",20.000607,-99.489806,caseta,"[[20.0013848418, -99.4892592699], [19.9996306129, -99.4887603791], [19.9994037715, -99.4907505782], [20.0012285751, -99.4910027058], [20.0013848418, -99.4892592699]]",2025-11-19 14:45:48,Tránsito autopista,Tránsito,,,En Ruta,En Ruta
CASETA_QRO_QRO,"Mex-45D, Apaseo El Grande, Guanajuato, Mexico",,,caseta,,,Tránsito autopista,Tránsito,,,En Ruta,En Ruta
CASETA_SALAMANCA_A_2_GTO,"Mex-45D, Fraccionamiento El Monte, Salamanca, Guanajuato 36720, Mexico",,,caseta,,,Tránsito autopista,Tránsito,,,En Ruta,En Ruta
CASETA_VALLE_DE_SANTIAGO_GTO,"Gto-80, Valle De Santiago, Guanajuato, Mexico",,,caseta,,,Tránsito autopista,Tránsito,,,En Ruta,En Ruta
CCASETA_ARANDAS_JAL,"Carretera Atotonilco El Alto-Sta María Valle, San Ignacio Cerro Gordo, Arandas, Jalisco, Mexico",,,caseta,,,Tránsito autopista,Tránsito,,,En Ruta,En Ruta
CCASETA_LA_PAZ_LA_BARCA_JAL,"Atotonilco El Alto-La Barca, La Barca, Jalisco, Mexico",,,caseta,,,Tránsito autopista,Tránsito,,,En Ruta,En Ruta
CCASETA_MILPILLAS_LA_BARCA_JAL,"Atotonilco El Alto-La Barca, Atotonilco El Alto, Jalisco, Mexico",,,caseta,,,Tránsito autopista,Tránsito,,,En Ruta,En Ruta
